keyword,title,channel,url,idea
株式,【無料ツール公開】高配当株ポートフォリオを「見える化」する管理シート公開！自分だけの配当利回りYOCがわかる！業種の偏りがないかチェックできる！,バフェットかおる,https://www.youtube.com/watch?v=W5JIN3byWTA,✅ あり → 20260419_202830_W5JIN3byWTA.md
株式,今仕込めば負けない大底圏の株主優待４選！,Ana Laura Ferreira Scherer,https://www.youtube.com/watch?v=5XIDfOtLp8I,✅ あり → 20260419_202909_5XIDfOtLp8I.md
株式,SMT米国株式モメンタムファンドとは？FANG+や一歩テック20を超えるか!？,資産の知恵,https://www.youtube.com/watch?v=_aqeN0ewPGo,✅ あり → 20260419_202941__aqeN0ewPGo.md
株式,【日経225オプション考察】4/20 日経平均 目先天井サイン点灯も、米株強すぎ問題！,オプション投資ラボ,https://www.youtube.com/watch?v=3IOADv3CNZ0,✅ あり → 20260419_203018_3IOADv3CNZ0.md
株式,日経ー１０００円超も夜間先物は反発。4/17 (金) 株ライブトレード・夜の部,もんちゃんの株日記,https://www.youtube.com/watch?v=B3bWGb5m1po,❌ なし
株式,AMC STOCK NEWS: CITADEL FAKING! $20B MARGIN CALL CANCELED! $3.6B UNSETTLED TRADES!,AMC INVESTOR,https://www.youtube.com/watch?v=Tiv6NoGyFCs,⏭️ スキップ
株式,【日経平均ついに5.9万円突破！】史上最高値更新の裏で起きた「地殻変動」と、次に狙うべき“国策・AI銘柄”をプロが徹底解説#日経平均 #史上最高値 #株式投資 #半導体株 #国策銘柄,投資の教科書,https://www.youtube.com/watch?v=53SS7NEgt04,⏭️ スキップ
株式,BEST 5 Stocks Google Is Buying Right Now (Hidden Opportunities Revealed),NEXT STOCK JOURNY ,https://www.youtube.com/watch?v=j2DtVffGmb0,✅ あり → 20260419_203354_j2DtVffGmb0.md
株式,【今週の注目銘柄】日経最高値の裏で「あのセクター」に復活の兆し！？要チェックの注目株10選を、市場概況＆今後の焦点を含めてまるっと一気見！,東京株式通信【日本株・米国株】,https://www.youtube.com/watch?v=UwFrUHVkUIo,❌ なし
株式,株で人生を溶かした投資家たちの掲示板に響く生々しい断末魔と末路,投資落武者どもが夢の跡,https://www.youtube.com/watch?v=6SmMm0AesqE,❌ なし
株式,NSJHL 340 2026_0417　【日経平均株価】史上最高値を更新！6万円視野に！　和平協議の進展期待で米株高！S＆P500・NASDAQは史上最高値！,日本証券新聞公式チャンネル,https://www.youtube.com/watch?v=XhHh6NsH_mc,✅ あり → 20260419_203646_XhHh6NsH_mc.md
株式,【NISA必須のお宝銘柄】優待拡充＆記念優待を発表!!増配も重なり最大利回り6.8％超えのバグった銘柄♪の紹介,NISAにピッタリ株主優待・高配当チャンネル,https://www.youtube.com/watch?v=IfnYczRUj2c,✅ あり → 20260419_203717_IfnYczRUj2c.md
株式,【プロの視点】Netflix-9%下落の真実。資金が向かう+9%株 #Shorts,ダンディ,https://www.youtube.com/watch?v=9Kiy_pA3ylQ,✅ あり → 20260419_203851_9Kiy_pA3ylQ.md
株式,【ライブ】一般社団法人クッパ軍団株式会社の現場視察w,ジローマルの東方ゆっくり茶番チャンネル,https://www.youtube.com/watch?v=m8cheq6obuQ,❌ なし
株式,【LIVE】JR武蔵小杉駅北口（撮影：株式会社メタテクノ）,株式会社メタテクノ,https://www.youtube.com/watch?v=-wfw0hA9oiM,⏭️ スキップ
株式,【コラボLIVE】半導体系Youtuber浅口みなび氏と今の半導体株について徹底生討論！【緋水のコラボLIVE】,緋水とももにの株ちゃんねる,https://www.youtube.com/watch?v=anJbxkOdhLM,✅ あり → 20260419_204443_anJbxkOdhLM.md
株式,【デイトレ/株投機配信】S高ギャンブル狂人録  ～投機で生活費を稼ぐ～ ◯投機 ✕投資,黒澤零のデイトレ&株式投機日記,https://www.youtube.com/watch?v=FUYBhobBEnc,❌ なし
株式,"I Own 5,000 Shares of SCHD &amp; VOO — The Dividend Results Surprised Me  ",Capital Insights,https://www.youtube.com/watch?v=kcd5OPRMvJE,✅ あり → 20260419_204603_kcd5OPRMvJE.md
株式,本日の寄り付き実況　（旧「今日の相場見通し」）　　－今日の気配銘柄は？－,Jean-Pierre Pyxis,https://www.youtube.com/watch?v=TAd-iB1JQL0,✅ あり → 20260419_204704_TAd-iB1JQL0.md
株式,明日の株式市場のスクリーニング,たくぞうのデイトレ実戦録,https://www.youtube.com/watch?v=pIBAfiuLYFY,❌ なし
株式,株価は下がらないフェーズへと突入！その2つの理由,トレンドニュースをサクッと知る,https://www.youtube.com/watch?v=eGyEFORDJpU,✅ あり → 20260419_204809_eGyEFORDJpU.md
株式,【FXライブ】円安どこまでいくの？為替介入はまだ？？？,オレ的ゲーム速報JIN FX・株投資部,https://www.youtube.com/watch?v=vCQTjYhiBFQ,⏭️ スキップ
株式,【TSMC決算の真実】完璧な好業績でも株価下落のなぜ？AI半導体「2027年まで売り切れ」の衝撃 / コメダ＆TKP目標株価引き上げ＜株式レポ4/17＞,デイリー日本株ニュース ,https://www.youtube.com/watch?v=qC3UpJZkbC8,⏭️ スキップ
株式,Best Week In Stock Market History! 🚀🔥,JKR - Investing,https://www.youtube.com/watch?v=DhTPFwL--v0,⏭️ スキップ
