keyword,title,channel,url,idea
株,テスラ株、22兆円が消滅...全米クーデター寸前でテスラ社員も離脱...株全部売却で逃げ出す幹部たち！【ゆっくり解説】,ゆっくり自動車研究所,https://www.youtube.com/watch?v=LZuUe8jLGRk,✅ あり → 20260315_232703_LZuUe8jLGRk.md
株,【2ch お金スレ 】新NISAの最終結論!迷ったらこの「5つの最強株」だけ買っとけ！【 2ch 有益スレ 】,2ch話題のお金投資スレ,https://www.youtube.com/watch?v=V7ZcIFfAlz8,✅ あり → 20260315_232902_V7ZcIFfAlz8.md
株,３月権利なのに安すぎる１０年連続増配の株主優待３選！,Ana Laura Ferreira Scherer,https://www.youtube.com/watch?v=2mX0nPg3uTY,✅ あり → 20260315_233039_2mX0nPg3uTY.md
株,【50代以上は確認必須】これ知らないだけで生涯1000万円以上の差！S&amp;P500が今バーゲンセール中！ここから6ヶ月で米国株に乗り遅れるな【ゆっくり解説】,ゆっくりお金アカデミー,https://www.youtube.com/watch?v=DKGOlOD4AdY,✅ あり → 20260315_233312_DKGOlOD4AdY.md
株,中東緊張で米株急落　半導体株は2番底をつけるのか？ 26/3/15,米国NASDAQと共に  半導体から読むハイテク株投資,https://www.youtube.com/watch?v=WV4BCZOIc-c,✅ あり → 20260315_233447_WV4BCZOIc-c.md
株,【ゴールデンドーム構想】中東情勢に振り回されず、未来に向けた投資を！今週は注目イベントが盛り沢山。テーマは金利とAIへ。,アベタカシの投資TV,https://www.youtube.com/watch?v=w5cXFtRzZNs,✅ あり → 20260315_233634_w5cXFtRzZNs.md
株,【岡本硝子】南鳥島レアアース日米共同開発、岡本硝子が赤字3億円なのに一夜で14%急騰,テンバガー研究家,https://www.youtube.com/watch?v=kgsKbTQjcaY,✅ あり → 20260315_233830_kgsKbTQjcaY.md
株,【株価下落】今注目の3銘柄の現状と指標を解説。（JAL・住友林業・モノタロウ）,高配当株投資家たぐ,https://www.youtube.com/watch?v=OIonYKSASxQ,✅ あり → 20260315_234006_OIonYKSASxQ.md
株,日本の造船株、30倍銘柄も　脱炭素と政府支援が資金を呼ぶ流れ,投資情報を整理する,https://www.youtube.com/watch?v=WBfGFLbK8D0,✅ あり → 20260315_234128_WBfGFLbK8D0.md
株,Adobe CEO退任へ――好決算でも株急落、AI時代の不安が噴き出した,SecondWave(米国株),https://www.youtube.com/watch?v=K7WX5zjzbO8,✅ あり → 20260315_234311_K7WX5zjzbO8.md
株,【悲報】日経平均がたった3日で大暴落！ポジティブに考える視点とは？堅実に資産運用をしていこう！日本株と米国株投資FIRE！,ライオンじゅんさんの米国株FIREが最強,https://www.youtube.com/watch?v=zvGc8cGqdGY,✅ あり → 20260315_234444_zvGc8cGqdGY.md
株,【毎日株に触れれば“値動き”がわかる】ゴールを決めることが大事／AIの答えを信じ切るな！／他国の株を買っている場合じゃない！／ママ友に投資アドバイスをするとしたら？／投資はフェアなプロ・アマ戦,東洋経済オンライン,https://www.youtube.com/watch?v=_OPVquifzfc,✅ あり → 20260315_234631__OPVquifzfc.md
株,MACDゴールデンクロスでは遅い|MACDゴールデンクロスでは遅い  #株初心者 #テクニカル分析 #macd #遅い,投資コンパス,https://www.youtube.com/watch?v=_pbDcGPGve4,✅ あり → 20260315_234830__pbDcGPGve4.md
株,FANG+全ツッパ：富かリスクか？,FANG+投資研究所,https://www.youtube.com/watch?v=YbyEzRGj4hQ,✅ あり → 20260315_235022_YbyEzRGj4hQ.md
株,サンバイオ薬価取載　今後の株戦略　ワクワク株投資曲#株式投資 #サンバイオ #バイオ ,shiritai.kabutop,https://www.youtube.com/watch?v=cncwfkgycrQ,✅ あり → 20260315_235148_cncwfkgycrQ.md
