rank,word,count
1,AI,53
2,銘柄,47
3,成長,30
4,株価,29
5,戦略,27
6,市場,26
7,価格,24
8,リスク,24
9,米国,22
10,長期,21
11,決算,20
12,関連,19
13,企業,18
14,コイン,17
15,インフラ,17
16,原油,16
17,開発,15
18,検討,15
19,配当,15
20,利益,15
21,ビット,15
22,増配,14
23,反発,13
24,徹底,13
25,NVIDIA,12
26,押し目,12
27,上昇,12
28,Stock,11
29,to,11
30,同社,11
31,最新,11
32,期待,11
33,発表,11
34,分析,11
35,技術,10
36,保有,10
37,高い,10
38,株式会社,10
39,価値,9
40,日本,9
41,評価,9
42,継続,9
43,インフレ,9
44,店舗,9
45,売上,9
46,下落,9
47,ボラティリティ,9
48,注目,8
49,センター,8
50,拡大,8
51,中長期,8
52,事業,8
53,維持,8
54,注視,8
55,保証,8
56,予想,8
57,転換,8
58,エネルギー,7
59,地政学,7
60,監視,7
61,半導体,7
62,世界,7
63,収益,7
64,水準,7
65,短期,7
66,連続,7
67,自己,7
68,ポートフォリオ,7
69,ライン,7
70,局面,7
71,調達,7
72,ニュース,7
73,amp,7
74,住宅,7
75,ローン,7
76,経済,7
77,重要,6
78,需要,6
79,動向,6
80,チップ,6
81,テーマ,6
82,構造,6
83,高値,6
84,優良,6
85,資本,6
86,付近,6
87,巨大,6
88,グループ,6
89,オプション,6
90,強み,6
91,メタ,6
92,エントリー,6
93,タイミング,6
94,テスラ,6
95,変動,6
96,加速,6
97,資金,6
98,業績,6
99,回復,6
100,SOFI,6
101,ヤバ,6
102,真実,6
103,Stocks,5
104,EV,5
105,次世代,5
106,コスト,5
107,向上,5
108,効率,5
109,不可欠,5
110,改善,5
111,考慮,5
112,権利,5
113,直近,5
114,基盤,5
115,調整,5
116,姿勢,5
117,株主,5
118,還元,5
119,確保,5
120,PBR,5
121,好機,5
122,ヘッジ,5
123,中東,5
124,FANG,5
125,レイオフ,5
126,材料,5
127,バランス,5
128,判断,5
129,主要,5
130,新た,5
131,規模,5
132,舞台裏,5
133,経営,5
134,NVDA,5
135,with,5
136,懸念,5
137,SOUN,5
138,移動,5
139,平均,5
140,トレンド,5
141,大きく,5
142,物理,5
143,会社,5
144,戦争,5
145,商船,5
146,三井,5
147,紛争,5
148,受注,5
149,都市,5
150,and,4
151,レアアース,4
152,チェーン,4
153,構築,4
154,最強,4
155,能力,4
156,電力,4
157,メモリ,4
158,メーカー,4
159,Ana,4
160,Laura,4
161,Ferreira,4
162,Scherer,4
163,高く,4
164,中期,4
165,有効,4
166,比率,4
167,積極,4
168,方針,4
169,運用,4
170,機関,4
171,後退,4
172,ディフェンシブ,4
173,国策,4
174,鉄板,4
175,全面,4
176,クラウドストライク,4
177,オラクル,4
178,山岡,4
179,目標,4
180,新規,4
181,推移,4
182,修正,4
183,金融,4
184,進化,4
185,DX,4
186,確認,4
187,高速,4
188,ハイテク,4
189,輸送,4
190,発覚,4
191,覇者,4
192,点検,4
193,岡本,4
194,硝子,4
195,ポジション,4
196,フィックスターズ,4
197,急落,4
198,為替,4
199,Archer,4
200,Aviation,4
